Venezuela,80.7,19.3
Papua New Guinea,80.3,19.7
Haiti,78.9,21.1
Afghanistan,75.1,24.9
South Africa,74.7,25.3
Honduras,72.0,28.0
Trinidad And Tobago,70.9,29.1
Syria,68.1,31.9
Jamaica,67.4,32.6
Peru,67.1,32.9
Nigeria,66.6,33.4
Guyana,66.3,33.7
Angola,66.3,33.7
Cameroon,65.5,34.5
Bolivia,65.0,35.0
Brazil,64.5,35.5
Somalia,63.9,36.1
Yemen,63.7,36.3
Namibia,63.5,36.5
Argentina,63.4,36.6
Ecuador,62.5,37.5
Bangladesh,61.6,38.4
Puerto Rico,61.5,38.5
Colombia,60.9,39.1
Zimbabwe,60.7,39.3
Dominican Republic,60.5,39.5
Chile,60.5,39.5
Mozambique,60.1,39.9
Us Virgin Islands,59.9,40.1
Paraguay,59.8,40.2
El Salvador,58.6,41.4
Guatemala,57.7,42.3
Bahamas,56.9,43.1
Fiji,56.6,43.4
Ivory Coast,56.4,43.6
Libya,56.4,43.6
Kenya,56.0,44.0
France,55.4,44.6
Kyrgyzstan,54.3,45.7
North Korea,54.1,45.9
Maldives,54.1,45.9
Uganda,54.1,45.9
Costa Rica,54.1,45.9
Tanzania,53.5,46.5
Mexico,53.4,46.6
Belize,52.7,47.3
Botswana,52.7,47.3
Algeria,52.6,47.4
Mongolia,52.1,47.9
Uruguay,52.0,48.0
Cambodia,51.3,48.7
Myanmar,50.9,49.1
Nicaragua,50.8,49.2
Ethiopia,50.7,49.3
Iran,50.5,49.5
Mauritius,50.0,50.0
Belarus,49.8,50.2
Belgium,49.4,50.6
United States,49.2,50.8
Malaysia,48.9,51.1
United Kingdom,48.3,51.7
New Zealand,48.2,51.8
Sweden,48.0,52.0
Morocco,47.8,52.2
Ireland,47.6,52.4
Egypt,47.3,52.7
Australia,47.3,52.7
Ukraine,47.0,53.0
Italy,46.9,53.1
Lebanon,46.8,53.2
Greece,46.4,53.6
Indonesia,46.0,54.0
Canada,45.7,54.3
Zambia,45.6,54.4
Sudan,45.5,54.5
Ghana,45.4,54.6
Kazakhstan,45.2,54.8
Tunisia,45.1,54.9
Barbados,44.9,55.1
Albania,44.7,55.3
India,44.3,55.7
Moldova,44.3,55.7
Pakistan,43.7,56.3
Philippines,43.1,56.9
Iraq,43.1,56.9
Malta,43.0,57.0
Palestine,42.8,57.2
Panama,42.7,57.3
Sri Lanka,42.1,57.9
Bosnia And Herzegovina,41.7,58.3
Turkey,41.2,58.8
North Macedonia,41.1,58.9
Kosovo (Disputed Territory),40.8,59.2
Vietnam,40.8,59.2
Jordan,40.0,60.0
Germany,39.4,60.6
Russia,38.7,61.3
Thailand,37.3,62.7
Serbia,37.2,62.8
Latvia,37.1,62.9
Nepal,36.7,63.3
Spain,36.6,63.4
Bulgaria,36.1,63.9
Montenegro,35.4,64.6
Cuba,34.4,65.6
Luxembourg,34.2,65.8
Hungary,33.7,66.3
Cyprus,33.1,66.9
Norway,33.0,67.0
Kuwait,32.8,67.2
Lithuania,32.4,67.6
Romania,32.3,67.7
Portugal,32.1,67.9
Azerbaijan,31.8,68.2
Israel,31.8,68.2
Slovakia,31.0,69.0
Cayman Islands,30.8,69.2
Austria,29.5,70.5
Brunei,29.3,70.7
Poland,29.0,71.0
Uzbekistan,27.9,72.1
Rwanda,26.9,73.1
Netherlands,26.9,73.1
Finland,26.8,73.2
Czech Republic,26.5,73.5
Switzerland,26.5,73.5
Georgia,26.3,73.7
Denmark,26.0,74.0
Iceland,25.7,74.3
Croatia,25.5,74.5
South Korea,24.9,75.1
Bahrain,24.5,75.5
China,24.0,76.0
Saudi Arabia,23.9,76.1
Slovenia,23.8,76.2
Estonia,23.7,76.3
Monaco,23.3,76.7
Japan,22.9,77.1
Singapore,22.6,77.4
Armenia,22.1,77.9
Hong Kong (China),21.5,78.5
Isle Of Man,21.0,79.0
Oman,18.3,81.7
Taiwan,17.1,82.9
Qatar,15.8,84.2
United Arab Emirates,15.5,84.5
Andorra,15.3,84.7